test,F.value,df1,df2,P(>F),RIV
D1 pooled exposure-by-ECG-count interaction,0.23601770182857737,2,11124.15091797229,0.7897706481612444,0.0010242785216017952
Malignancy-inclusive D1 pooled exposure-by-ECG-count interaction,0.39069087800191216,2,12781.401627359024,0.6765973520967263,0.0012442863698294002
