analysis,n,exposed,deaths,patients,parameters,m,estimate,conf_low,conf_high,p_value,df,within_variance,between_variance,total_variance,relative_increase_variance,fraction_missing_information,monte_carlo_error_fraction_of_se,estimate_ci
Malignancy-inclusive landmark flexible Model 3 Cox,14129,3213,2346,12812,22,40,1.208112,1.099372,1.327607,8.57404e-5,12767.98,0.002312742248900688,2.5761866261306044e-6,0.0023153828401924715,0.0011417577090741596,0.0012969,0.005274086639497563,1.208 (1.099-1.328)
Non-oncologic landmark flexible Model 3 Cox,12285,2695,1762,11152,21,40,1.168324,1.048528,1.301807,0.00482909,11112.2,0.0030425184531607846,3.387598341445626e-6,0.003045990741460766,0.0011412546393513264,0.0013197,0.005272925928964022,1.168 (1.049-1.302)
Malignancy-inclusive broad-window flexible Model 3 Cox,22569,4960,4315,18930,22,40,1.243971,1.156683,1.337846,4.13103e-9,18606.46,0.001371013615472114,6.476715031602558e-6,0.0013776522483795067,0.004842134923004818,0.0049258,0.010841205984710018,1.244 (1.157-1.338)
