n_ecg_cat,low_qrs_landmark,stays,percent_within_ecg_count
1,0,8400,79.08859806044629
1,1,2221,20.911401939553713
2,0,1986,72.40247903755012
2,1,757,27.597520962449874
>=3,0,530,69.28104575163398
>=3,1,235,30.718954248366014
