analysis,term,median_chisq,median_df,median_p,p_q1,p_q3,imputations_p_below_0_05,imputations
Malignancy-inclusive landmark Cox,GLOBAL,223.51367452168904,22,2.680970112764532e-35,5.350543999221674e-36,5.811360798442504e-35,40,40
Malignancy-inclusive landmark Cox,low_qrs_landmark,0.8724995684766003,1,0.3502642628525521,0.346166218744418,0.35573409372171233,0,40
Non-oncologic landmark Cox,GLOBAL,173.0468497866487,21,6.636407756226154e-26,1.5767040511371418e-26,1.0467607716433659e-25,40,40
Non-oncologic landmark Cox,low_qrs_landmark,0.17928076687590183,1,0.6719922220754821,0.6658523184419516,0.678006970169477,0,40
Malignancy-inclusive broad-window Cox,GLOBAL,650.4885068323256,22,2.110070963718913e-123,2.210186683707522e-124,3.7789571904286924e-122,40,40
Malignancy-inclusive broad-window Cox,low_qrs_landmark,6.435404715432668,1,0.011186775300261943,0.010326114678497898,0.011615699024493066,40,40
