analysis,n,exposed,deaths,patients,parameters,m,estimate,conf_low,conf_high,p_value,df,within_variance,between_variance,total_variance,relative_increase_variance,fraction_missing_information,monte_carlo_error_fraction_of_se,estimate_ci
Malignancy-inclusive landmark flexible Model 3 Cox,14129,3213,2346,12812,22,40,1.208112,1.099372,1.327607,8.57404e-5,12767.98,0.00231274224890068,2.5761866261306044e-6,0.00231538284019247,0.00114175770907415,0.0012969,0.00527408663949756,1.208 (1.099-1.328)
Non-oncologic landmark flexible Model 3 Cox,12285,2695,1762,11152,21,40,1.168324,1.048528,1.301807,0.00482909,11112.2,0.00304251845316078,3.387598341445626e-6,0.00304599074146076,0.00114125463935132,0.0013197,0.00527292592896402,1.168 (1.049-1.302)
Malignancy-inclusive broad-window flexible Model 3 Cox,22569,4960,4315,18930,22,40,1.243971,1.156683,1.337846,4.13103e-9,18606.46,0.00137101361547211,6.476715031602558e-6,0.0013776522483795,0.00484213492300481,0.0049258,0.01084120598471001,1.244 (1.157-1.338)
